Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Congo, DR",,,78.70803187986098,137.63780552523806,165.20506089789578,205.10208657659214,205.21722302854377,159.9984265849921,122.37801098067885,183.68209750825963,238.78754658827546,332.4939793749422,374.47565335181775,341.22463440621283,491.27687707905375,395.73374524705577,295.2360743175798,295.3483646354702,352.7095655968196,362.0916155392711,306.0787825606135,371.08159985082017,794.2445980722746,899.1877784038358
"Congo, Republic",54.44594353097175,70.70423020195469,93.77666896077082,124.29843739648106,100.91607452963972,126.56964179846622,168.07958820448727,207.72434430164915,,218.39092063633078,,,367.05729547164015,704.893729407907,,501.8121449378365,371.9370550768078,292.2604652501871,299.95323896934593,298.38219194745164,313.0558314869467,265.8479727296654,284.99442966404865,182.04440252173868
Cote d'Ivoire,,,213.00757054370266,250.81158844184486,249.8729780763952,267.360247853277,323.61919347670505,368.9105749154208,420.05904452906276,387.69213995400554,357.33025901421166,407.59653412323723,430.0036108364891,521.2605292510298,569.6716215445381,602.5387312353536,501.5787322456487,607.8482178844936,535.9513821809754,607.1558899681999,637.6569128174989,607.2456995565701,682.1771113492144,658.3532182181273
Djibouti,26.048131622036788,33.250994536380055,41.763775805898014,37.35574299041756,44.84726059385216,49.51581411313238,34.51871191361741,36.27483527551612,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,196.31437173850904,292.75465883587725,371.9275878573274,,,,,166.54027052149743,137.26265956547465,139.20081764180193,136.21036138833068,149.49869004433694,148.6369330225033,162.37336438041947,162.8071326712182,156.79163491983198,162.192394152675,113.13523755497545
Eritrea,166.55024536893762,150.76442521241995,181.58366899891195,,,,,,,,,,,,,,,,,,,,,
Ethiopia,349.8082764508146,288.9323334597765,278.6731599315324,311.03874898964517,342.0666386659343,345.6870170210907,360.1403086120266,388.18759674741193,339.62776796630897,303.6170330890518,332.4417723915925,366.53901766752523,345.0641658440276,414.4760258300706,442.532624456259,490.1772485320749,513.8274523733917,516.9770761594,535.9780182036751,754.4741287976404,1595.5437290148695,1785.6038283919195,1409.020101008437,921.6652638646304
Gabon,90.03613723144335,94.69316544904646,108.39642119752236,125.12185657362976,118.11143045644475,130.23771730191817,,,,268.73850390791415,265.96533761703535,278.1439571266554,282.163387579953,208.12477333813558,170.374503339251,202.81539068040226,267.4307708028203,261.2173950595958,266.8791961198584,263.471597129303,311.4549286354286,277.6747689905686,265.3858026318787,319.0959207265087
"Gambia, The",2.4542302004181753,2.2592856640793664,1.997861937225075,1.9313954998484852,2.9850850731748286,2.7863192437744293,4.547026140374858,17.163533461905878,7.095299575145247,,,11.173079860710601,10.378890693483436,14.599970284939412,14.288131905326017,,,11.48722494341072,14.456446201773305,14.805015929753672,15.874259866824561,15.446282227631354,13.950935482351193,14.433677704271274
Ghana,32.35214049880987,36.97548134378742,53.24402028695239,56.35384298967754,64.19656639953038,75.73260792709274,126.07778899286608,113.66816024804795,118.29074389551391,122.48046847703037,234.3274795780005,337.26097270327756,254.99705739361838,252.6538337166147,190.5403620029066,161.75187426381748,189.1298414903589,218.44425359219503,233.32013703844692,239.8871642832229,298.34543305757217,229.27886620907788,285.3759346916375,268.7367054338518
